City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,muros,42.7762,-9.0603,279.17,90,20,2.48,ES,1669944566
232,codrington,-38.2667,141.9667,290.99,63,8,3.63,AU,1669944566
233,alice springs,-23.7,133.8833,303.9,12,0,2.57,AU,1669944567
234,halifax,44.6453,-63.5724,275.15,75,14,6.17,CA,1669944546
235,bakchar,57.0186,82.0711,252.79,98,98,2.17,RU,1669944567
236,boralday,43.3578,76.8594,268.07,93,100,0.0,KZ,1669944568
237,mount isa,-20.7333,139.5,305.02,20,0,6.17,AU,1669944568
238,mahibadhoo,3.7833,72.9667,299.66,75,97,0.34,MV,1669944568
239,tolaga bay,-38.3667,178.3,290.33,61,45,3.42,NZ,1669944569
240,tabou,4.423,-7.3528,298.34,87,100,2.15,CI,1669944569
241,luba,3.4568,8.5547,299.09,79,100,2.08,GQ,1669944569
242,salta,-24.7859,-65.4117,289.48,82,100,1.54,AR,1669944570
243,saint anthony,45.0205,-93.218,273.12,65,0,7.2,US,1669944570
244,poya,-21.35,165.15,303.56,65,100,3.27,NC,1669944570
245,san juan,-31.5375,-68.5364,297.88,31,14,1.48,AR,1669944436
246,pilar,-9.5972,-35.9567,298.11,85,88,3.6,BR,1669944571
247,inhambane,-23.865,35.3833,295.56,88,20,3.33,MZ,1669944571
248,cotonou,6.3654,2.4183,301.14,83,40,4.63,BJ,1669944572
249,kidal,18.4411,1.4078,295.81,20,12,3.32,ML,1669944572
250,treinta y tres,-33.2333,-54.3833,294.01,91,56,1.65,UY,1669944572
251,mantua,45.1667,10.7833,279.79,91,100,0.45,IT,1669944573
252,makakilo city,21.3469,-158.0858,299.33,57,75,5.66,US,1669944573
253,rivadavia,-33.1905,-68.4608,297.3,26,6,3.39,AR,1669944573
254,pangody,65.85,74.4859,251.05,93,21,4.15,RU,1669944574
255,tilaran,10.4703,-84.9671,295.41,91,42,4.08,CR,1669944574
256,harlingen,26.1906,-97.6961,289.12,94,100,3.09,US,1669944314
257,santa josefa,7.9911,126.03,299.48,88,100,1.83,PH,1669944575
258,north highlands,38.6857,-121.3722,282.49,92,0,2.06,US,1669944361
259,evensk,61.95,159.2333,265.15,91,100,0.25,RU,1669944575
260,iqaluit,63.7506,-68.5145,261.0,84,100,8.75,CA,1669944576
261,mbaiki,3.8678,17.9892,294.3,90,95,0.91,CF,1669944576
262,san cristobal,7.7669,-72.225,291.25,96,51,1.67,VE,1669944576
263,awjilah,29.1081,21.2869,286.64,49,5,2.79,LY,1669944577
264,gat,31.61,34.7642,288.93,64,0,1.68,IL,1669944577
265,the valley,18.217,-63.0578,299.87,73,50,8.05,AI,1669944577
266,zeya,53.75,127.2667,243.16,93,25,0.86,RU,1669944578
267,senanga,-16.1167,23.2667,292.57,38,0,2.35,ZM,1669944578
268,santa rosa,14.3122,121.1114,304.87,68,100,6.87,PH,1669944578
269,port arthur,38.8,121.2667,277.54,45,96,4.3,CN,1669944579
270,zaraza,9.3503,-65.3245,296.07,86,25,2.89,VE,1669944579
271,cacu,-18.5567,-51.1308,296.07,68,98,1.53,BR,1669944579
272,kyzyl-suu,42.3414,78.0056,270.44,68,100,2.73,KG,1669944580
273,orange cove,36.6244,-119.3137,284.15,100,100,3.09,US,1669944580
274,verkhnyaya inta,65.9811,60.3094,252.92,98,10,2.99,RU,1669944581
275,lebedinyy,58.5167,125.5167,246.04,95,100,6.66,RU,1669944581
276,drumheller,51.4617,-112.7101,250.78,70,100,0.51,CA,1669944427
277,valdivia,-39.8142,-73.2459,285.2,81,13,0.37,CL,1669944581
278,shelburne,44.0787,-80.2041,271.4,83,96,4.1,CA,1669944582
279,fukue,32.6881,128.8419,282.35,57,75,5.66,JP,1669944582
280,kenai,60.5544,-151.2583,262.18,85,0,0.0,US,1669944582
281,najran,17.4924,44.1277,285.51,46,6,0.42,SA,1669944583
282,rockland,41.1668,-74.0496,276.5,59,3,4.0,US,1669944583
283,vanimo,-2.6741,141.3028,300.36,81,100,3.53,PG,1669944583
284,sur,22.5667,59.5289,295.55,45,61,2.4,OM,1669944584
285,akoupe,6.39,-3.9003,295.44,99,94,0.84,CI,1669944584
286,ndele,8.4109,20.6473,298.38,54,89,1.06,CF,1669944585
287,yerbogachen,61.2767,108.0108,248.88,92,100,3.23,RU,1669944585
288,vao,-22.6667,167.4833,299.31,86,91,9.41,NC,1669944585
289,kulhudhuffushi,6.6221,73.07,299.45,77,54,1.88,MV,1669944586
290,jalu,29.0331,21.5482,286.74,50,3,2.84,LY,1669944586
291,xinqing,48.2333,129.5,253.14,83,100,4.14,CN,1669944586
292,floro,61.5996,5.0328,278.69,65,100,5.66,NO,1669944587
293,east london,-33.0153,27.9116,294.48,93,100,4.43,ZA,1669944587
294,fairbanks,64.8378,-147.7164,255.88,84,40,2.06,US,1669944478
295,puerto colombia,10.9878,-74.9547,300.2,80,0,10.22,CO,1669944588
296,yulara,-25.2406,130.9889,304.26,12,0,3.84,AU,1669944588
297,panguna,-6.3164,155.4848,298.31,83,100,0.9,PG,1669944588
298,cap malheureux,-19.9842,57.6142,296.19,75,47,3.67,MU,1669944589
299,harper,4.375,-7.7169,298.02,88,100,1.59,LR,1669944589
300,sijunjung,-0.6876,100.9537,296.44,95,100,0.82,ID,1669944589
